0	Baseline	optimal	ZoomOut	Random	E-Greedy	Q-Learning	EG-Q-Learning	Sarsa	E-Greedy-Act-DO	E-Greedy-Int-DO	1-Hop Random	1-hop optimal	
40	1	2	1	1	1	1	1	1	1	1	1	2	
41	2	2	1	1	1	2	2	1	1	1	1	2	
42	1	1	1	1	1	1	1	1	1	1	1	1	
43	1	2	1	1	1	1	1	1	1	1	1	2	
44	1	3	2	1	2	2	2	3	2	2	2	3	
45	0	3	2	0	2	2	2	2	1	1	0	3	
46	0	3	3	1	3	3	3	2	2	2	1	3	
47	0	2	2	2	2	1	1	2	2	1	2	2	
48	0	3	3	2	3	3	3	3	3	2	2	3	
49	0	3	2	1	1	2	2	2	1	1	0	3	
50	1	3	2	2	2	2	2	2	2	2	2	3	
51	1	2	1	1	1	2	2	1	1	1	1	2	
52	1	1	1	1	1	1	1	1	1	1	1	1	
53	1	2	1	1	1	2	2	1	1	1	1	2	
54	1	2	1	2	1	1	1	1	1	1	2	2	
55	1	2	1	1	1	1	1	1	1	1	1	2	
56	0	3	2	1	2	2	2	2	2	2	1	3	
57	0	3	3	1	2	3	3	3	3	2	2	3	
58	0	3	2	1	1	2	2	3	2	1	1	3	
59	1	2	1	2	1	2	2	1	2	2	2	2	
60	1	2	1	2	1	1	1	1	1	2	2	2	
61	2	2	1	2	1	2	2	1	2	1	2	2	
62	1	1	1	1	1	1	1	1	1	1	1	1	
63	1	2	1	1	1	1	1	1	1	2	1	2	
64	1	3	2	1	2	2	2	3	2	1	1	3	
65	0	3	2	0	2	2	2	2	1	2	2	3	
66	0	3	3	2	2	3	3	3	2	1	2	3	
67	0	2	2	1	2	1	1	2	1	1	2	2	
68	0	3	3	0	2	3	3	3	3	2	1	3	
69	0	3	2	1	1	2	2	2	3	3	1	3	
70	1	3	2	2	1	2	2	3	2	2	3	3	
71	1	2	1	1	1	2	2	1	1	1	1	2	
72	1	1	1	1	1	1	1	1	1	1	1	1	
73	1	2	1	2	1	2	2	1	1	1	2	2	
74	1	2	1	1	1	1	1	1	1	2	1	2	
75	1	2	1	1	1	1	1	1	1	1	2	2	
76	0	3	2	1	2	2	2	1	2	2	1	3	
77	0	3	3	1	3	3	3	2	3	2	1	3	
78	0	3	2	2	2	2	2	3	2	2	1	3	
79	1	2	1	1	1	2	2	1	1	2	1	2	
80	1	2	1	1	1	1	1	1	2	2	1	2	
81	2	2	1	1	1	2	2	1	2	1	1	2	
82	1	1	1	1	1	1	1	1	1	1	1	1	
83	1	2	1	1	1	1	1	1	1	1	1	2	
84	1	3	2	2	2	2	2	3	2	2	3	3	
85	0	3	2	1	2	2	2	2	1	1	1	3	
86	0	3	3	2	3	3	3	3	3	3	2	3	
87	0	2	2	1	2	1	1	2	2	2	1	2	
88	0	3	3	2	3	3	3	3	3	3	1	3	
89	0	3	2	2	1	2	2	2	2	2	3	3	
90	1	3	2	1	3	2	2	2	2	2	2	3	
91	1	2	1	1	1	2	2	1	2	1	1	2	
92	1	1	1	1	1	1	1	1	1	1	1	1	
93	1	2	1	1	1	2	2	1	1	1	1	2	
94	1	2	1	1	1	1	1	1	2	2	1	2	
95	1	2	1	1	1	1	1	1	1	2	1	2	
96	0	3	2	1	1	2	2	2	3	2	0	3	
97	0	3	3	2	3	3	3	3	3	2	0	3	
98	0	3	2	2	2	2	2	2	2	1	2	3	
99	1	2	1	1	1	2	2	2	2	2	1	2	
100	1	2	1	1	1	1	1	2	2	2	1	2	
101	2	2	1	1	1	2	2	1	2	1	1	2	
